"District","Year","Interaction","PP_pos","PP_neg"
"Meerut",2001,-0.0492358288684703,0.334853999712106,0.665146000287894
"Mirzapur",2001,-0.000287202852466739,0.498170735617101,0.501829264382899
"Moradabad",2001,0.0449064930790203,0.654644996060466,0.345355003939534
"Muzaffarnagar",2001,-0.124592160015204,0.149957109705329,0.850042890294671
"Pilibhit",2001,0.223552986798078,0.970927222714183,0.0290727772858173
"Pratapgarh",2001,0.0414697223119072,0.635054419259479,0.364945580740521
"Rae Bareli",2001,0.027665214485491,0.589059869883422,0.410940130116578
"Rampur",2001,-0.000421757823894575,0.497829510690946,0.502170489309054
"Saharanpur",2001,-0.0517962306389489,0.33892115494218,0.66107884505782
"Sant Kabir Nagar",2001,-0.0231304130848842,0.43393602492113,0.56606397507887
"Sant Ravidas Nagar Bhadohi",2001,-0.0484780747514582,0.361020191350005,0.638979808649995
"Shahjahanpur",2001,0.160532074136405,0.936577246655556,0.0634227533444443
"Shrawasti",2001,-0.149595961039344,0.138809157128452,0.861190842871548
"Siddharthnagar",2001,-0.00886677070490497,0.472846926700439,0.527153073299561
"Sitapur",2001,0.142245204434207,0.924399540908429,0.0756004590915711
"Sonbhadra",2001,-0.00750962925480168,0.477048054575996,0.522951945424004
"Sultanpur",2001,0.23571537423369,0.972901516062361,0.0270984839376392
"Unnao",2001,0.185267214907289,0.95832718189152,0.0416728181084799
"Varanasi",2001,-0.0254021940763111,0.414344785428803,0.585655214571197
"Agra",2002,-0.130424613135032,0.107975267955561,0.892024732044439
"Aligarh",2002,-0.20474926156857,0.03067566805789,0.96932433194211
"Allahabad",2002,0.0964080757035383,0.821039477339835,0.178960522660165
"Ambedkar Nagar",2002,0.0757738018908688,0.711636504601631,0.288363495398369
"Auraiya",2002,0.124210235950293,0.839139166207679,0.160860833792321
"Azamgarh",2002,-0.039706184888707,0.37339895427533,0.62660104572467
